"CityId","CountryID","RegionID","City","Latitude","Longitude","TimeZone","DmaId","Code"
12904,254,154,"Rego Park","40.7254","-73.8614","-05:00",501,"RPAR"
36924,254,166,"Salem","39.9788","-111.554","-07:00",770,"SALE"
15818,254,126,"San Marino","34.1351","-118.129","-08:00",803,"SMAI"
24762,254,165,"Early","31.753","-98.9262","-06:00",662,"EARL"
34721,254,153,"Pena Blanca","35.6645","-106.386","-07:00",790,"PBLA"
34165,254,165,"Orange Grove","27.9528","-98.0731","-06:00",600,"OGRO"
39319,254,155,"Townsville","36.4944","-78.4239","-05:00",560,"TOWN"
38724,254,126,"Sunland","34.2627","-118.316","-08:00",803,"SUNL"
27439,254,151,"Groveton","44.6154","-71.467","-05:00",500,"GROV"
28064,254,145,"Henderson","44.5464","-93.9537","-06:00",613,"HENE"
36617,254,154,"Ruby","42.0181","-74.0155","-05:00",501,"RUBY"
10134,254,154,"Fredonia","42.4124","-79.3256","-05:00",514,"FRED"
21411,254,125,"Brinkley","34.8485","-91.2113","-06:00",693,"BRIN"
27064,254,158,"Gotebo","35.071","-98.8855","-06:00",650,"GOTE"
17708,91,1913,"Freising","48.4","11.733","+01:00",,"FREI"
5494,120,2381,"Mount Carey","18.4","-77.95","-05:00",,"MCAR"
30109,254,139,"Latonia","38.9834","-84.4878","-05:00",515,"LATO"
33529,254,131,"Nobleton","28.6193","-82.2459","-05:00",539,"NOBL"
25575,254,144,"Ewen","46.5575","-89.3954","-05:00",553,"EWEN"
36685,254,164,"Russellville","36.2465","-83.1838","-05:00",557,"RUSS"
4541,179,3059,"Jalapa","13.917","-86.133","-06:00",,"JALA"
8984,254,141,"Bangor","44.8267","-68.8047","-05:00",537,"BANG"
11147,254,165,"Livingston","30.7078","-94.8036","-06:00",618,"LIVI"
39794,254,165,"Van Horn","31.0833","-104.815","-06:00",765,"VHOR"
8040,254,137,"Cherokee","42.7282","-95.5804","-06:00",624,"CHER"
24779,254,165,"East Bernard","29.4737","-96.1754","-06:00",618,"EBER"
31851,254,170,"Medina","44.3344","-88.6383","-06:00",658,"MEDI"
11471,254,168,"Bellingham","48.7273","-122.472","-08:00",819,"BELL"
16458,175,2979,"Klimmen","50.883","5.883","+01:00",,"KLIM"
